Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
ACAFP,12/14/2018,Corporates,Bank,Banks,12/14/2028,11/23/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,2260220,STEP CPN,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,1/14/2016,Corporates,Industrial,Renewable Energy,1/14/2026,1/11/2016,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,12/31/2015,Corporates,Industrial,Renewable Energy,12/31/2030,12/28/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
MOLAND,7/5/2017,Corporates,Industrial,Real Estate,7/3/2018,6/29/2017,AT MATURITY,USD,#N/A N/A,#N/A N/A,130000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CAYMAN ISLANDS,#N/A N/A,#N/A N/A,#N/A N/A
FABGSS,11/28/2016,Corporates,REIT,Real Estate,11/28/2018,11/21/2016,AT MATURITY,SEK,33.33330154,100,32508900,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,SWEDEN,17.18964778,0.512473259,7.528795622
DUNANH,12/1/2016,Corporates,Industrial,Metals & Mining,12/1/2019,11/24/2016,AT MATURITY,CNY,#N/A Field Not Applicable,#N/A Field Not Applicable,145342000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
WUHAIB,2/21/2017,Corporates,Bank,Banks,2/21/2020,2/14/2017,AT MATURITY,CNY,#N/A N/A,#N/A N/A,72646000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
GDHXBK,12/21/2016,Corporates,Bank,Banks,12/21/2019,12/14/2016,AT MATURITY,CNY,#N/A N/A,#N/A N/A,144174000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
COSMBK,5/19/2017,Corporates,Bank,Banks,5/19/2020,5/15/2017,AT MATURITY,TWD,0,23.07999966,33333500,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,TAIWAN,#N/A N/A,#N/A N/A,#N/A N/A
TIGUJI,8/15/2017,Corporates,Industrial,Utilities,8/15/2018,8/8/2017,AT MATURITY,CNY,0,42.85710144,29952200,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
GDHXBK,8/25/2017,Corporates,Bank,Banks,8/25/2020,8/18/2017,AT MATURITY,CNY,#N/A N/A,#N/A N/A,301010000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
